Date,ret,limit_weight_share,one_line_like_weight_share,n_limit,n_one_line_like,protocol
2025-11-25,-0.008304653433814313,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-11-26,-0.022145561950895783,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-11-27,0.02523948555030234,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-11-28,0.09189317531186833,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-12-01,0.10876160161922438,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-12-02,0.05503140396425081,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-12-03,0.04305186605719531,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-12-04,-0.008765646250707382,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-12-05,-0.014252606248719248,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-12-08,0.06700396989020102,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-12-09,-0.026853789742482124,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-12-10,0.04137423161669184,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-12-11,0.015908937435787886,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-12-12,0.2693248070857267,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-12-15,0.14786016744691413,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-12-16,0.21147047117556675,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-12-17,0.28588790113505796,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-12-18,0.25130669648730347,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-12-19,0.28132432212268843,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-12-22,0.15899816299748387,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-12-23,0.17088927786410754,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-12-24,0.055302932100478375,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-12-25,0.15684876004229117,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-12-26,0.14699334881076112,0.0,0.0,0.0,0.0,limit_up_haircut_20
2025-12-29,0.18951714639255282,0.0,0.0,0.0,0.0,limit_up_haircut_20
